symbol,fold,method,y,p
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.6666666666666666
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
