symbol,fold,hyperparam_kind,n_estimators,max_depth,min_samples_leaf,rmse,mae,r2,train_seconds,predict_seconds,n_train,n_test
AAPL,13,max_depth,500,12,10,0.0065432920906715744,0.005746533997747321,-1.7834604871800446,0.2248,0.0261,2019,126
AAPL,13,max_depth,500,15,10,0.006363747480232315,0.005583347027599277,-1.6328027430780772,0.274,0.0254,2019,126
AAPL,13,max_depth,500,None,10,0.006400071756366555,0.005603446554519124,-1.6629446038253808,0.234,0.0276,2019,126
AAPL,13,min_samples_leaf,500,12,5,0.007643113626321797,0.00686111679434601,-2.797808636218991,0.258,0.0267,2019,126
AAPL,13,min_samples_leaf,500,12,10,0.0065432920906715744,0.005746533997747321,-1.7834604871800441,0.2274,0.0251,2019,126
AAPL,13,min_samples_leaf,500,12,20,0.005660664156893904,0.004844224528859471,-1.0831820471048181,0.1955,0.0269,2019,126
AAPL,13,min_samples_leaf,500,12,50,0.0052901459964295305,0.004501067263729984,-0.8193982018653303,0.1849,0.0254,2019,126
AAPL,14,n_estimators,100,12,10,0.006091288362345252,0.0052812558848421304,-0.2048584878782609,0.0504,0.0137,2082,126
AAPL,14,n_estimators,250,12,10,0.006047768467444794,0.005206374091221828,-0.18770349647018914,0.1292,0.0117,2082,126
AAPL,14,n_estimators,500,12,10,0.005973861170219715,0.005103204394080009,-0.15885199714834553,0.2805,0.0243,2082,126
AAPL,14,n_estimators,1000,12,10,0.0059772163645196745,0.005112441164668151,-0.16015409152007076,0.451,0.0512,2082,126
AAPL,14,max_depth,500,6,10,0.005820085195760789,0.004878382252075601,-0.09995876921448277,0.1834,0.0268,2082,126
AAPL,14,max_depth,500,9,10,0.005865369188111846,0.004961667867318023,-0.11714212708960425,0.2017,0.0244,2082,126
AAPL,14,max_depth,500,12,10,0.005973861170219714,0.005103204394080009,-0.1588519971483453,0.2365,0.0266,2082,126
AAPL,14,max_depth,500,15,10,0.00602401067623612,0.005170861451001514,-0.1783903793415873,0.2289,0.0266,2082,126
AAPL,14,max_depth,500,None,10,0.006009765381855881,0.0051554672231998765,-0.17282376574490899,0.2374,0.0265,2082,126
AAPL,14,min_samples_leaf,500,12,5,0.00641583888471696,0.0056499452774365945,-0.336671293255387,0.2694,0.0262,2082,126
AAPL,14,min_samples_leaf,500,12,10,0.005973861170219715,0.005103204394080009,-0.15885199714834553,0.228,0.0263,2082,126
AAPL,14,min_samples_leaf,500,12,20,0.005727668354370268,0.0047811277776864175,-0.06530373353955721,0.2001,0.0268,2082,126
AAPL,14,min_samples_leaf,500,12,50,0.005755744170229296,0.004772784227920217,-0.07577311621164795,0.1737,0.0261,2082,126
AAPL,15,n_estimators,100,12,10,0.00760631467683531,0.005830910329650769,-0.22854308794341627,0.0479,0.0139,2145,126
AAPL,15,n_estimators,250,12,10,0.007619262870237981,0.005847990210526156,-0.2327293341716925,0.1162,0.0132,2145,126
AAPL,15,n_estimators,500,12,10,0.007655338392289444,0.005878438431341933,-0.24443037035949788,0.2377,0.0248,2145,126
AAPL,15,n_estimators,1000,12,10,0.007652279662574093,0.005882855708984412,-0.24343613195253733,0.4676,0.052,2145,126
AAPL,15,max_depth,500,6,10,0.0075899680469799224,0.005844922337867211,-0.2232682707912823,0.1769,0.0275,2145,126
AAPL,15,max_depth,500,9,10,0.0076753536749821485,0.005887794024884261,-0.2509461337447907,0.1931,0.0262,2145,126
AAPL,15,max_depth,500,12,10,0.007655338392289444,0.005878438431341933,-0.2444303703594981,0.226,0.0248,2145,126
AAPL,15,max_depth,500,15,10,0.007627956936013857,0.005874506034997682,-0.23554418509203412,0.2475,0.0258,2145,126
AAPL,15,max_depth,500,None,10,0.007638234271156575,0.005885573573450279,-0.23887578646674656,0.251,0.0252,2145,126
AAPL,15,min_samples_leaf,500,12,5,0.007548016322625949,0.005773808608892061,-0.20978299958992452,0.2894,0.0247,2145,126
AAPL,15,min_samples_leaf,500,12,10,0.007655338392289444,0.005878438431341934,-0.2444303703594981,0.243,0.0264,2145,126
AAPL,15,min_samples_leaf,500,12,20,0.007701243681553785,0.0059043448866310825,-0.2593995882356419,0.2011,0.0256,2145,126
AAPL,15,min_samples_leaf,500,12,50,0.007655197814593991,0.0058796561112172884,-0.24438466694616268,0.1816,0.0266,2145,126
AAPL,16,n_estimators,100,12,10,0.006819063950090895,0.005179198280187274,-0.311159619375474,0.058,0.0138,2208,126
AAPL,16,n_estimators,250,12,10,0.0067570821828131546,0.0051043853275551075,-0.2874324189951458,0.1263,0.014,2208,126
AAPL,16,n_estimators,500,12,10,0.006755012788745071,0.005101637384841478,-0.2866439730431678,0.2392,0.026,2208,126
AAPL,16,n_estimators,1000,12,10,0.006746171651723402,0.005094030616221507,-0.28327819067918236,0.4738,0.0505,2208,126
AAPL,16,max_depth,500,6,10,0.006731492360605827,0.005104898696300026,-0.2776995839311245,0.1769,0.0267,2208,126
AAPL,16,max_depth,500,9,10,0.006747184025000332,0.005077199956099475,-0.2836633732965299,0.2323,0.0244,2208,126
AAPL,16,max_depth,500,12,10,0.006755012788745072,0.005101637384841479,-0.286643973043168,0.2342,0.028,2208,126
AAPL,16,max_depth,500,15,10,0.006740343935269768,0.005105548393953782,-0.2810620148668683,0.2518,0.0269,2208,126
AAPL,16,max_depth,500,None,10,0.006781006569081508,0.0051209100300748205,-0.2965652243424788,0.2566,0.0269,2208,126
AAPL,16,min_samples_leaf,500,12,5,0.0067139504974289875,0.00505358866982514,-0.2710490445503393,0.2823,0.0255,2208,126
AAPL,16,min_samples_leaf,500,12,10,0.006755012788745073,0.005101637384841478,-0.286643973043168,0.2402,0.0264,2208,126
AAPL,16,min_samples_leaf,500,12,20,0.006817401773679998,0.005171287380074676,-0.31052049559258976,0.2146,0.0249,2208,126
AAPL,16,min_samples_leaf,500,12,50,0.006808745124645156,0.005158581372432851,-0.30719444450376976,0.1903,0.0273,2208,126
