symbol,fold,method,ece,brier,log_loss,auc,n_test
^GSPC,20,platt,0.15564806348466043,0.23889946773042908,0.6709168846194864,0.36074270557029176,126
^GSPC,20,isotonic,0.18689441736618456,0.24406933390725596,0.6807527449687562,0.595048629531388,126
^GSPC,21,no_cal,0.28589895735680987,0.32186949495247286,0.8797958706068246,0.5593859412873686,126
^GSPC,21,platt,0.007291455800965352,0.2339939312225073,0.6607937907192157,0.4406140587126313,126
^GSPC,21,isotonic,0.04319498043637625,0.23574019429436138,0.6643571324477456,0.5261244276865069,126
^IXIC,0,no_cal,0.2341293586610886,0.27837241583826877,0.8130617401269038,0.5513062213843253,126
^IXIC,0,platt,0.02629995113609889,0.23671591532983757,0.6668214502611911,0.44869377861567467,126
^IXIC,0,isotonic,0.061966728633395196,0.23680723480523286,0.6670161123808445,0.5063291139240507,126
^IXIC,1,no_cal,0.24847965202799724,0.2802779686345279,0.991626746132045,0.43299856527977043,126
^IXIC,1,platt,0.08133671102918506,0.2285306761932682,0.6499022203959627,0.43299856527977043,126
^IXIC,1,isotonic,0.11445796267224824,0.28260650995393927,0.7887294690658638,0.4794835007173601,126
^IXIC,2,no_cal,0.4001872225039753,0.3898893870774658,1.083664776724631,0.5369022869022869,126
^IXIC,2,platt,0.035832283098293075,0.24388231186059237,0.682079321814885,0.5369022869022869,126
^IXIC,2,isotonic,0.12820847019336662,0.2619998529551753,0.8278463926913775,0.5083160083160083,126
^IXIC,3,no_cal,0.33573541936581586,0.3848718762675101,1.0954889480776533,0.4574825536314293,126
^IXIC,3,platt,0.07829719609031939,0.2530541960127203,0.7014142839467086,0.4574825536314293,126
^IXIC,3,isotonic,0.0862517788297513,0.26226510180343804,1.0492833447621337,0.48190746963039544,126
^IXIC,4,no_cal,0.5427360815604836,0.5231300249674131,1.591314455395068,0.5741750358680058,126
^IXIC,4,platt,0.09138483718429374,0.22664747823763062,0.6460202023494145,0.5741750358680058,126
^IXIC,4,isotonic,0.11719144597450178,0.22266929221860754,0.6366070773864124,0.5859397417503587,126
^IXIC,5,no_cal,0.2332489676020374,0.30847646516216026,0.9083277903617527,0.5731922398589067,126
^IXIC,5,platt,0.15105042923156045,0.269167049907877,0.7330581215738584,0.4268077601410935,126
^IXIC,5,isotonic,0.09570966963158938,0.2548408353506157,0.7028987068837032,0.5553036029226505,126
^IXIC,6,no_cal,0.22264242981392837,0.266801511085616,0.7981000660773568,0.6629273504273504,126
^IXIC,6,platt,0.33069865938807863,0.3296571912304546,0.8776720223600643,0.6629273504273504,126
^IXIC,6,isotonic,0.34529600121713544,0.34425146278591334,1.2558926246354605,0.6350160256410255,126
^IXIC,7,no_cal,0.25990185926305853,0.3373988106984329,0.9558147110595938,0.4628787878787879,126
^IXIC,7,platt,0.07698059757467318,0.2557203305925519,0.7047101137166513,0.4628787878787879,126
^IXIC,7,isotonic,0.12465934323103943,0.26899358220362496,0.9477889262696163,0.4830808080808081,126
^IXIC,8,no_cal,0.3379579608254511,0.38705424665949617,1.1039123556656885,0.38755375664052616,126
^IXIC,8,platt,0.2543868556431519,0.32331092118264526,0.864219610601191,0.38755375664052616,126
^IXIC,8,isotonic,0.29945598444509164,0.3463766202716706,1.5620673636690392,0.4066531748039464,126
^IXIC,9,no_cal,0.3201749100199664,0.3632685132249125,1.0402573740611991,0.4417842741935484,126
^IXIC,9,platt,0.07346606745452094,0.252009485332446,0.6975958016908441,0.5582157258064516,126
^IXIC,9,isotonic,0.02793650793650787,0.25071746031746023,0.694583080828143,0.5,126
^IXIC,10,no_cal,0.5001741266171869,0.49664936304006707,1.598624723617712,0.4484508547008547,126
^IXIC,10,platt,0.04450739256779776,0.23660704443568237,0.6659533250259319,0.5515491452991453,126
^IXIC,10,isotonic,0.11012524027505315,0.2483453563324464,0.6898328850599206,0.49839743589743596,126
^IXIC,11,no_cal,0.16543691219760268,0.2621149125323293,0.7236002108120585,0.5758547008547009,126
^IXIC,11,platt,0.13060870477012357,0.25207417092681567,0.6972960048418184,0.5758547008547009,126
^IXIC,11,isotonic,0.16771705113018967,0.2592716641657538,0.7113410855748796,0.5149572649572649,126
